Journey_Name,Date,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Unsubscribe_Rate,Total_Conversions,Conversion_Rate
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 02,,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 01,9/24/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,7,7,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 02,,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 01,9/25/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 02,,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 01,9/25/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1665 journeyId 075c129a-bf85-4894-8411-b61e58284663,1,FY21 High School App Gen ? Email 04,10/8/2020,FY21 High School App Gen ? Email 04                                                                 ,We want to know YOUR story                                                                                                                                                                              ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1665 journeyId 075c129a-bf85-4894-8411-b61e58284663,1,FY21 High School App Gen ? Email 04,10/8/2020,FY21 High School App Gen ? Email 04                                                                 ,We want to know YOUR story                                                                                                                                                                              ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1665 journeyId 075c129a-bf85-4894-8411-b61e58284663,1,FY21 High School App Gen ? Email 04,10/8/2020,FY21 High School App Gen ? Email 04                                                                 ,We want to know YOUR story                                                                                                                                                                              ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1665 journeyId 075c129a-bf85-4894-8411-b61e58284663,1,FY21 High School App Gen ? Email 04,10/8/2020,FY21 High School App Gen ? Email 04                                                                 ,We want to know YOUR story                                                                                                                                                                              ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %

