EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
CY19 Newsletter - 13 - August & September                                                           ,9/12/2019 6:00:43 PM,"27,667",9.46 %,"4,293",16.07 %,6317,328,1.23 %,1448,946,3.42 %,126,0.47 %,0,"26,721",96.58 %,0
CY19 Newsletter - 14 - October                                                                      ,10/10/2019 6:00:54 PM,"29,204",9.98 %,"4,385",15.57 %,7031,367,1.30 %,1796,"1,037",3.55 %,92,0.33 %,5,"28,167",96.45 %,0
CY19 Newsletter - 15 - November & December                                                          ,12/12/2019 6:00:47 PM,"33,020",11.29 %,"3,062",9.56 %,5987,440,1.37 %,2633,988,2.99 %,83,0.26 %,1,"32,032",97.01 %,0
FY19 Newsletter - 08 - February                                                                     ,2/27/2019 6:00:44 PM,"40,370",13.80 %,"6,131",15.80 %,9124,628,1.62 %,2447,"1,556",3.85 %,135,0.35 %,0,"38,814",96.15 %,0
FY19 Newsletter - 09 - March                                                                        ,3/27/2019 6:00:44 PM,"40,695",13.91 %,"6,239",15.86 %,9343,619,1.57 %,3411,"1,367",3.36 %,190,0.48 %,1,"39,328",96.64 %,0
FY19 Newsletter - 10 - April                                                                        ,4/24/2019 6:19:44 PM,"41,387",14.15 %,"6,897",17.21 %,10174,748,1.87 %,3373,"1,311",3.17 %,211,0.53 %,1,"40,076",96.83 %,0
FY19 Newsletter - 11 - May                                                                          ,5/29/2019 6:00:41 PM,"40,835",13.96 %,"6,524",16.10 %,9451,605,1.49 %,2783,314,0.77 %,191,0.47 %,1,"40,521",99.23 %,0
FY19 Newsletter - 12 - June & July                                                                  ,7/17/2019 6:00:44 PM,"39,338",13.45 %,"5,622",14.52 %,8327,489,1.26 %,2204,625,1.59 %,170,0.44 %,0,"38,713",98.41 %,0

