EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
FY20 Adult Transfer Info Sessions - Email 11                                                        ,4/30/2020 6:00:39 PM,"1,046",49.53 %,309,29.54 %,448,18,1.72 %,25,0,0.00 %,6,0.57 %,0,"1,046",100.00 %,0
FY20 Adult Transfer Info Sessions - Email 12                                                        ,6/11/2020 6:00:40 PM,"1,066",50.47 %,138,13.03 %,253,11,1.04 %,13,7,0.66 %,3,0.28 %,0,"1,059",99.34 %,0

