EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
FY19 Adult Transfer Targeted Info Session - Email 02                                                ,2/26/2019 6:00:53 PM,"6,281",31.56 %,621,10.21 %,970,54,0.89 %,121,201,3.20 %,19,0.31 %,0,"6,080",96.80 %,0
FY19 Adult Transfer Targeted Info Session - Email 03                                                ,3/14/2019 6:01:02 PM,"6,562",32.97 %,603,9.49 %,915,58,0.91 %,147,207,3.15 %,21,0.33 %,0,"6,355",96.85 %,0
FY19 Adult Transfer Targeted Info Session - Email 04                                                ,4/11/2019 6:00:56 PM,"7,059",35.47 %,631,9.25 %,953,52,0.76 %,125,235,3.33 %,24,0.35 %,0,"6,824",96.67 %,0

