EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
FY19 BioChem Lab Tours - Email 02                                                                   ,2/19/2019 6:00:40 PM,304,30.74 %,105,34.88 %,190,10,3.32 %,36,3,0.99 %,1,0.33 %,0,301,99.01 %,0
FY19 BioChem Lab Tours - Email 03                                                                   ,3/13/2019 6:00:43 PM,330,33.37 %,117,35.67 %,204,14,4.27 %,65,2,0.61 %,1,0.30 %,0,328,99.39 %,0
FY19 BioChem Lab Tours - Email 04                                                                   ,4/10/2019 6:00:37 PM,355,35.89 %,102,28.73 %,195,6,1.69 %,53,0,0.00 %,0,0.00 %,0,355,100.00 %,0

