EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
CY20 Newsletter - 05 - May 2020                                                                     ,5/14/2020 6:00:55 PM,"36,266",64.68 %,"9,780",28.73 %,16305,476,1.40 %,975,"2,222",6.13 %,258,0.76 %,10,"34,044",93.87 %,0
CY20 Newsletter - 09 - October                                                                      ,10/15/2020 6:00:53 PM,"19,804",35.32 %,"3,117",16.19 %,5164,217,1.13 %,774,554,2.80 %,89,0.46 %,21,"19,250",97.20 %,0

