EmailName,InitialSendDate,SendCount,PercentOfSend,Opens,OpenRate,TotalOpens,Clicks,ClickRate,TotalClicks,Bounces,BounceRate,Unsubs,UnsubRate,Shares,Delivered,DeliveryRate,Conversions
FY19 Adult App Gen - Email 11 (Career Opportunities)                                                ,7/16/2019 6:00:42 PM,"1,765",49.84 %,263,15.03 %,391,17,0.97 %,26,15,0.85 %,3,0.17 %,0,"1,750",99.15 %,0
FY19 Adult App Gen - Email 12 (Majors)                                                              ,7/30/2019 6:00:49 PM,"1,776",50.16 %,288,16.37 %,468,30,1.71 %,47,17,0.96 %,4,0.23 %,0,"1,759",99.04 %,0

